class_name,thumbnail_url,teaser_url
2023 Vegan Christmas Dinner Class,https://cinnamonsnail.com/wp-content/uploads/2023/10/IMG_0849.jpg,https://www.youtube.com/embed/GuhyvG7W48c
2023 Vegan Thanksgiving Cooking Class,https://cinnamonsnail.com/wp-content/uploads/2024/04/Vegan-Apple-Pie-02.jpg,https://www.youtube.com/embed/FueK_7bFyn4
A Colosseum of Vegan Eggs,https://cinnamonsnail.com/wp-content/uploads/2025/06/vegan_breakfast_sandwich-15.jpg,https://www.youtube.com/embed/_ArcS8qnsCc
A Vegan Hanukkah Kitchen: Root Veggies & Rituals,https://cinnamonsnail.com/wp-content/uploads/2025/02/vegan_latkes-03.jpg,https://www.youtube.com/embed/UfXxxL-8hFM
Approachable Vegan Desserts,https://cinnamonsnail.com/wp-content/uploads/2023/06/banh-flan-feature-2.jpg,https://www.youtube.com/embed/rxc3Wf91nXw
Around the World in Vegan Donuts,https://cinnamonsnail.com/wp-content/uploads/2025/02/matcha-donuts-11.jpg,https://www.youtube.com/embed/0fVeU5ibqyQ
Bangin' Tex-Mex Casseroles,https://cinnamonsnail.com/wp-content/uploads/2026/05/vegan_tamale_pie-2.jpg,https://www.youtube.com/embed/jU6Sasix5tY
Eastern European Jewish Vegan Food,https://cinnamonsnail.com/wp-content/uploads/2023/10/vegan-Jewish-food.jpg,https://www.youtube.com/embed/DBOmecV7lC4
"Easy, Healthy Vegan Lunches",https://cinnamonsnail.com/wp-content/uploads/2023/10/easy-healthy-lunches.jpg,https://www.youtube.com/embed/5tcIieNpUFE
Essential Mexican Salsas,https://cinnamonsnail.com/wp-content/uploads/2025/07/salsa_ranchera-05.jpg,https://www.youtube.com/embed/S5HbKiChalA
Gluten-Free Vegan Masterclass,https://cinnamonsnail.com/wp-content/uploads/2024/08/Cha-Ri-Chay-11.jpg,https://www.youtube.com/embed/jrvchgy0CsM
Homestyle Moroccan Cooking,https://cinnamonsnail.com/wp-content/uploads/2025/04/zaalouk-04.jpg,https://www.youtube.com/embed/JTOjiAqiPe8
Legacy Vegan Cooking Class,https://cinnamonsnail.com/wp-content/uploads/2023/10/beastmode-burger-1.jpg,https://www.youtube.com/embed/Cg9EDJHA8F8
"Make Better Meat, Vegan",https://cinnamonsnail.com/wp-content/uploads/2024/03/Vegan-Drumsticks-19.jpg,https://www.youtube.com/embed/hsFe68tzVRQ
Make the Best Plant-Based Pizza,https://cinnamonsnail.com/wp-content/uploads/2023/10/Vegan-Pizza.jpg,https://www.youtube.com/embed/outoSPUMSJw
Malaysian Vegan Cuisine,https://cinnamonsnail.com/wp-content/uploads/2023/08/Tahu-Goreng-features.jpg,https://www.youtube.com/embed/tlrFaPvVfHc
Plant-Based Cheese School,https://cinnamonsnail.com/wp-content/uploads/2023/10/Vegan-Nacho-Cheese.jpg,https://www.youtube.com/embed/Z5AIWleZF1w
Punjabi Thali Cuisine,https://cinnamonsnail.com/wp-content/uploads/2024/08/Rajma-Chawal-02.jpg,https://www.youtube.com/embed/dvCVZOU6Dc8
Saigon Flavor: Vegan Vietnamese Cooking Class,https://cinnamonsnail.com/wp-content/uploads/2023/11/banh-trang-cuon-04.jpg,https://www.youtube.com/embed/LY4N4Spyabo
Sattvic Vegan Indian Cuisine,https://cinnamonsnail.com/wp-content/uploads/2024/08/Beerakaya-Sabji-02.jpg,https://www.youtube.com/embed/gl_3FhDyOMw
Seitan Masterclass,https://cinnamonsnail.com/wp-content/uploads/2023/03/seitan-in-a-white-bowl-feature.jpg,https://www.youtube.com/embed/Y1NjLeWWyRw
Southern Vegan BBQ Class Pack,https://cinnamonsnail.com/wp-content/uploads/2023/10/Vegan-BBQ.jpg,https://www.youtube.com/embed/1rLYukUcw6c
Spooky Vegan Halloween Party Prep,https://cinnamonsnail.com/wp-content/uploads/2025/07/vegan_halloween.jpg,https://www.youtube.com/embed/tRgZSWZDh14
The best falafel and vegan meze,https://cinnamonsnail.com/wp-content/uploads/2024/06/Bolani-02.jpg,https://www.youtube.com/embed/v-HHjWDLObk
The best plant-based tacos,https://cinnamonsnail.com/wp-content/uploads/2024/02/Vegan-Fajitas-02.jpg,https://www.youtube.com/embed/R5tjAujpa8A
The Green Reaper: Vegan Salad Bible,https://cinnamonsnail.com/wp-content/uploads/2025/08/butternut_squash_salad-07.jpg,https://www.youtube.com/embed/jU6Sasix5tY
The Perfect Vegan Brunch Cooking Class,https://cinnamonsnail.com/wp-content/uploads/2023/01/Blue-corn-Pancakes-feature-2.jpg,https://www.youtube.com/embed/FR2GyKD9M2Y
Vegan Cake Donut Mastery,https://cinnamonsnail.com/wp-content/uploads/2023/10/vegan-cake-donuts.jpg,https://www.youtube.com/embed/P_ponW1ZU24
Vegan Christmas Bundle Of Yummy,https://cinnamonsnail.com/wp-content/uploads/2023/10/vegan-Christmas-bundle.jpg,https://www.youtube.com/embed/cuIrnXG5EdU
Vegan Dairy Crash Course,https://cinnamonsnail.com/wp-content/uploads/2024/04/Vegan-Cream-Cheese-Frosting-3.jpg,https://www.youtube.com/embed/EUiV2E_rd6k
Vegan Dim Sum and Then Some,https://cinnamonsnail.com/wp-content/uploads/2023/04/chee-cheong-fun-feature-1-of-1.jpg,https://www.youtube.com/embed/IrGTvhAiYbo
Vegan Easter Dinner Class,https://cinnamonsnail.com/wp-content/uploads/2024/02/Peep-cakes.jpeg,https://www.youtube.com/embed/Z14VDuqwLlE
Vegan Empanadas Made Easy,https://cinnamonsnail.com/wp-content/uploads/2023/10/Vegan-Empanadas.jpg,https://www.youtube.com/embed/CNPbTEN2yjA
Vegan Filipino Cooking Class,https://cinnamonsnail.com/wp-content/uploads/2023/04/Tofu-sisg-feature-1-of-1.jpg,https://www.youtube.com/embed/SyhKhMBMoPY
Vegan Freezer Meals,https://cinnamonsnail.com/wp-content/uploads/2025/07/1.jpg,https://www.youtube.com/embed/d_2yTChyCn4
Vegan Indonesian BBQ,https://cinnamonsnail.com/wp-content/uploads/2025/02/Sambal-goreng-02.jpg,https://www.youtube.com/embed/vaWImXb9DOQ
Vegan Italian American Cooking Class,https://cinnamonsnail.com/wp-content/uploads/2024/01/Vegan-Meatballs-03.jpg,https://www.youtube.com/embed/l655gT87zuA
Vegan Italian Desserts,https://cinnamonsnail.com/wp-content/uploads/2024/02/Vegan-Tiramisu-11.jpg,https://www.youtube.com/embed/Sb2gHkoGtCc
Vegan Korean Fried Chicken Workshop,https://cinnamonsnail.com/wp-content/uploads/2025/02/vegan_korean_fried_chicken-02.jpg,https://www.youtube.com/embed/H8fPhH3Pv8s
Vegan Mediterranean Cooking Class,https://cinnamonsnail.com/wp-content/uploads/2023/10/Mutabal-04.jpg,https://www.youtube.com/embed/b_66I6UW8ew
Vegan Mexican Cooking,https://cinnamonsnail.com/wp-content/uploads/2024/02/Vegan-Tamales-02.jpg,https://www.youtube.com/embed/rFhEgXRaI9U
Vegan Mother's Day Cook-Along Brunch,https://cinnamonsnail.com/wp-content/uploads/2023/05/martabak-feature-2.jpg,https://www.youtube.com/embed/qfx5N5kmCGs
Vegan Passover Prep-Along,https://cinnamonsnail.com/wp-content/uploads/2025/02/passover-class.jpg,https://www.youtube.com/embed/9Lt4BckWON8
Vegan Sandwich Hall of Fame Cooking Class,https://cinnamonsnail.com/wp-content/uploads/2023/10/thai-bbq-tempeh.jpg,https://www.youtube.com/embed/ygK9AkyXkc0
Vegan Shabbat Dinner,https://cinnamonsnail.com/wp-content/uploads/2025/02/vegan_cholent-04.jpg,https://www.youtube.com/embed/kVk6mYpTeFY
Vegan Soup Workshop,https://cinnamonsnail.com/wp-content/uploads/2025/07/Vegan_soup_class.jpg,https://www.youtube.com/embed/ASw2RwIrLgI
Vegan Thai Kitchen Adventures,https://cinnamonsnail.com/wp-content/uploads/2024/01/Thai-Basil-Eggplant-16.jpg,https://www.youtube.com/embed/Jh8Ji0Mudwo
Vegan Thanksgiving Training Camp,https://cinnamonsnail.com/wp-content/uploads/2024/09/Thanksgiving_Vegan_Stuffing-02.jpg,https://www.youtube.com/embed/H_0fD5O7jzA
Vegan Turkish Cuisine,https://cinnamonsnail.com/wp-content/uploads/2023/06/Ezogelin-feature.jpg,https://www.youtube.com/embed/E6cSjYttY30
Vegan Valentine's Treats,https://cinnamonsnail.com/wp-content/uploads/2025/01/vegan_valentines_class.jpg,https://www.youtube.com/embed/KPiSPgnHwqc
Veganized Chinese Takeout Classics,https://cinnamonsnail.com/wp-content/uploads/2023/10/Chinese-food.jpg,https://www.youtube.com/embed/VWPN5tBAbFQ
